"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","Reject a create request without a title Payload without title is rejected: {description=no title supplied}","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateWithoutTitle"
"","288","Accept every documented due_date shortcut due_date=OVERDUE is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedDueDateShortcut"
"","1359","Return an empty list for contradictory filters","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","returnsEmptyListForContradictoryFilters"
"","3970","Filter by state","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByState"
"","1755","Be idempotent when closing an already-closed issue","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","closingAnAlreadyClosedIssueIsIdempotent"
"","1541","Clear the due date on update","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","clearsDueDateOnUpdate"
"","1386","Match the issue schema when every field is populated","","2026-09-21","passed","2026-09-21","","Response schema contract","com.qa.gitlab.tests.IssueSchemaTest","fullyPopulatedIssueMatchesIssueSchema"
"","1111","Preserve a multiline description exactly, including tabs","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","preservesMultilineDescriptionExactly"
"","1191","Retrieve an issue by its internal id with every field matching the create response","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueReadTest","getsIssueByInternalId"
"","2650","Filter by presence of any label (labels=Any)","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByPresenceOfAnyLabel"
"","3355","Do not let an anonymous request see a confidential issue","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","anonymousRequestDoesNotSeeConfidentialIssues"
"","2530","Leave a closed issue retrievable rather than deleting it","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","closingDoesNotDeleteTheIssue"
"","1220","Set the due date","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","setsDueDate"
"","6539","Filter by author","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByAuthor"
"","0","Deduplicate a repeated label sent as a JSON array (disabled - FINDING-2)","","2026-09-21","skipped","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","aRepeatedLabelInAJsonArrayDoesNotFail"
"","515","Accept every documented scope value scope=CREATED_BY_ME is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedScopeValue"
"","311","Accept every documented due_date shortcut due_date=MONTH is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedDueDateShortcut"
"","1504","Advance updated_at on a change while created_at never moves","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","advancesUpdatedTimestamp"
"","2915","Return every field that was set on creation","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueReadTest","returnsEveryFieldThatWasSetOnCreation"
"","156","Reject an unsupported sort direction Unsupported sort direction is rejected: sideways","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsUnsupportedSortDirection"
"","1826","Update the description","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","updatesDescription"
"","8221","Offer navigable first/last/prev/next Link headers","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","offersNavigableLinkHeaders"
"","9204","Apply the documented default page size of 20","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","appliesTheDocumentedDefaultPageSize"
"","171","Reject a malformed token Malformed token is rejected: not-even-prefixed","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","rejectsMalformedTokens"
"","1302","Ignore unknown internal ids in the iids filter rather than 404ing","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","ignoresUnknownInternalIdsInTheIidsFilter"
"","223","Reject a create severity that is not an exact lowercase match severity LOW is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateSeverityThatIsNotAnExactMatch"
"","2008","Return 404 for an unknown project","","2026-09-21","passed","2026-09-21","","DELETE /projects/:id/issues/:iid - errors","com.qa.gitlab.tests.IssueDeleteNegativeTest","returnsNotFoundForUnknownProject"
"","837","Handle a create field of the wrong JSON type without a server error Wrong-typed labels=123 is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","2153","Reject a blank title Blank title is rejected: []","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","rejectsBlankTitle"
"","7875","Report X-Total, X-Total-Pages and X-Per-Page for a scoped collection","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","reportsTotalsForAScopedCollection"
"","308","Accept every documented state filter value state=OPENED is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedStateValue"
"","192","Handle a create field of the wrong JSON type without a server error Wrong-typed milestone_id=not-a-number is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","243","Return 404, not 403, for an inaccessible project so existence is not revealed","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","doesNotRevealExistenceOfAnInaccessibleProject"
"","189","Handle a create field of the wrong JSON type without a server error Wrong-typed severity=5 is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","164","Return 401, not a 5xx, for a bad token","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","returnsUnauthorizedNotServerErrorForABadToken"
"","2283","Coerce a non-positive page number to the first page Page=0 is coerced to the first page","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","coercesNonPositivePageNumbers"
"","850","Accept a single-character title","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsSingleCharacterTitle"
"","387","Keep an empty result an array, not a 404 or a null body","","2026-09-21","passed","2026-09-21","","Response schema contract","com.qa.gitlab.tests.IssueSchemaTest","emptyResultIsStillAnArray"
"","1412","Match the error schema on a 400 validation error","","2026-09-21","passed","2026-09-21","","Response schema contract - errors","com.qa.gitlab.tests.IssueErrorSchemaTest","validationErrorMatchesErrorSchema"
"","434","Reject a blank title Blank title is rejected: [ ]","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","rejectsBlankTitle"
"","932","Accept an empty description","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsEmptyDescription"
"","173","Reject an unsupported state filter Unsupported state filter is rejected: OPENED","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsUnsupportedStateFilter"
"","2620","Coerce a non-positive page number to the first page Page=-1 is coerced to the first page","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","coercesNonPositivePageNumbers"
"","981","Ignore empty elements in the comma-separated labels string","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","ignoresEmptyLabelElements"
"","166","Reject a create issue_type that is not an exact lowercase match issue_type TASK is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateIssueTypeThatIsNotAnExactMatch"
"","420","Accept every documented order_by value order_by=RELATIVE_POSITION is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedOrderByValue"
"","354","Match the error schema on a 404","","2026-09-21","passed","2026-09-21","","Response schema contract - errors","com.qa.gitlab.tests.IssueErrorSchemaTest","notFoundErrorMatchesErrorSchema"
"","182","Reject a malformed token Malformed token is rejected: Bearer something","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","rejectsMalformedTokens"
"","681","Reject a start date after the due date on create","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","rejectsStartDateAfterDueDateOnCreate"
"","1064","Accept a start date equal to the due date","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsStartDateEqualToDueDate"
"","2322","Search titles","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","searchesTitles"
"","758","Default issue_type to issue when not specified","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","defaultsIssueTypeToIssue"
"","190","Reject an update on an unknown project","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsUpdateOnUnknownProject"
"","832","Accept and silently discard an unparseable due_date (FINDING-1) Unparseable due_date is silently discarded: not-a-date","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsAndDiscardsUnparseableDueDate"
